# morfessor1.0.perl, Mon Jun  6 23:43:37 2011
# Working dir: # -data 'bijankhan.txt'
# -finish 0.005
# -rand 0
# -savememory: OFF
# -gammalendistr: OFF
# -zipffreqdistr: OFF
# -load: OFF
# -trace 0
# Vocabulary:
1170 درباره
33 کالری
522 زیاد
875 موجود
111 میوه
1141 نقش
531 احساس
33 سیری
19 بیاساس
162 مینویسد
4476 هر
185 یکصد
419 گرم
10 10 + 2
1358 یعنی
708 20
1915 بیشتر
4 است + کان
171 ماست
357 انرژی
453 بدن
1690 میدهد
119 عوض
1065 بسیاری
15 گوارشی
773 مانند
411 درمان
2725 کند
276 بیماران
218 مبتلا
58 آسم
4037 باید
6 بالش + های
265 پر
2215 کنند
4146 تهران
12 مناسبتر
28 ساخته + شده
18 الیاف
90 مصنوعی
212 اینترنت
548 لندن
2877 یکی
34 بیمارستانهای
17 منچستر
1133 مواد
2 حساسیت + زا + ی
1413 حدود
830 7
6847 تا
972 8
1234 برابر
27762 با
1299 بررسی
373 مقایسه
425 14
1159 نوع
1593 مختلف
15 محتوی
954 نتیجه
59 رسیدهاند
271 پوشش
1928 بسیار
30 منسجم
504 جلوگیری
1578 شدن
4 پر + ها
6369 میشود
162 خروج
3 حساسیت + زا
426 درون
1 بالش + ها
1330 گفته
93 نیمی
504 موارد
1459 جدید
723 بیماری
46 احتمالا
1173 اثر
1602 ایجاد
126 مسعود
24 شجاعی
54 طباطبایی
247 دنیای
7 آدولف
24 بورن
45 اتفاقات
8 رویایی
95 بتوانیم
1339 آثار
92 زیبای
137 هنرمند
321 درک
861 کنیم
50 لذت
35 ببریم
197 ذهن
31 پذیرای
50 چیزهای
28 غیرعادی
116 شیوههای
1 نام + ال + و + ف
16 هنرمند + ی
338 واقعیت
27 تخیل
7 رویا
203 پیوند
146 میزند
53 نقشهای
622 خاص
4723 او
19 تاثیر + ی
31 شکلهای
270 قدیمی
300 سنتی
19 واکنش + ی
2 پدیده + ه + است
41 طراح
9 کاریکاتوریست
2 تصویر + ساز
59 نقاش
15 1930
2835 شهر
1 بود + جوی + س
121 چک
551 دنیا
662 آمد
16 زندگیاش
1267 دلیل
603 وضعیت
1993 اقتصادی
179 مجبور
252 ترک
30 خانوادهاش
72 پدرش
129 کارگر
111 راهآهن
8125 بود
273 تامین
14 معاش
1386 زندگی
82 برایش
191 سخت
355 اتفاق
1 اقوام + ش
13 پراگ
149 مهاجرت
8794 کرد
11 1949
189 تحصیل
400 رشته
170 هنرهای
202 زیبا
1335 دانشگاه
26 چارلز
249 مشغول
7272 سال
51 بتدریج
120 نشریات
119 متعددی
81 کشورش
723 میرسد
22 1974
3269 عنوان
3329 «
551 بهترین
3288 »
1867 نام
169 میبرند
356 حاکم
95 قلمرو
109 طنز
230 سیاه
652 یاد
2190 میکنند
462 شاید
127 شهرت
558 خاطر
156 سری
323 کارهای
3 مشهور + ش
3409 باشد
1 بور + و + ن + وگرافی
4247 )
22 تلفیقی
6 طنزآمیز
195 اسم
293 شیوه
44 کارش
4605 (
55 تکنیک
2 گرا + و + ور
2399 انجام
376 خاصی
3212 وجود
493 آورد
917 تاریخی
139 شخصیتهای
198 ادبی
42 قهرمانان
24 افسانهای
252 گونهای
4195 دیگر
184 ظهور
194 درعینحال
319 نویسنده
3 انی + ما + تور
414 هست
1394 برنامه
403 تلویزیونی
4 شب + به + خیر
163 بچهها
260 میسازد
18 تصویرسازی
25 230
128 جلد
1139 کتاب
1007 تعداد
23 بیشماری
309 طراحی
2471 روی
77 نشاندهنده
643 فعالیت
85 مستمر
24 غریب
5469 دارد
42 آثارش
19 سنتها
110 دستاوردهای
330 نقاشی
192 خلق
91 آثاری
33 بدیع
223 نو
16 دستمایه
57 چیزهایی
336 تصویر
83 میکشد
1309 تنها
31 حیطه
578 جاری
22 بازنمایی
15 تخیلی
724 بعضی
48 مواقع
3 دهشتناک
12 نیات
34 شیطانی
57 آدمها
1 شرارت + های
469 انسانی
296 قالب
39 نمادها
693 میدهند
2193 همه
376 چیز
47 بیفتد
119 حیوانات
530 میتوانند
237 پرواز
1622 ؛
541 تبدیل
809 انسان
1094 میشوند
4944 یا
61 برعکس
10 شیاطین
220 صورتی
1 نیمه + انسان
1 نیمه + حیوان
1 کابوس + هایی
45 شیوهای
41 منحصربهفرد
1 تاثیر + برانگیز
970 شکل
264 میگیرند
183 گرچه
596 نگاه
245 متوجه
203 فضایی
608 روش
3440 کار
10 حالوهوای
44 شخصیتها
1 فرمهای + ش
48 حسی
391 دل
2198 دارند
75 مایه
72 رنگهای
1531 برخی
75 درخشان
1 د + فر + م + اسیون
966 تغییر
15 فانتزی
203 چهره
11 ترسناک
5 ت + لطیف
138 روحی
39 شاد
110 طرحها
1 مید + مد
135 انسانها
39 واقعیات
250 تاثیر
106 خصوصیات
139 نگاهی
420 کلی
1 جنس + اند
564 خوب
89 توانسته
2030 بین
45 اجزای
98 بزند
37 دنیایی
4 بیافریند
126 کاملا
37 گویای
18 ذهنیت
148 اوست
29 معدود
17 هنرمندان + ی
2 ترس + ها
2 او + ها + م
4 کابوس + های
68 شکلی
37 ملموس
22 دلنشین
188 بدهد
133 هیچگاه
148 ادعا
298 نداشته
27 خالق
24 سبکی
37 کاریکاتور
392 همیشه
294 آماده
247 روشهای
1 جسور + ان + های
1855 همین
95 تنوع
4 شاهد + یم
1 تصویرسازی + های
216 ساده
1799 گرفته
38 تصاویری
90 تلخ
13 مرموز
109 پیچیده
1 بزرگ + سالها
657 دنبال
124 کجا
20 ایدههای
2 تخیلی + اش
35 ظاهرا
214 مانع
20 محدودیت + ی
5482 هم
884 ارااه
9 ایدهها
71 هرگاه
27 جوابگوی
2399 نیست
63 پناه
231 میبرد
88 هنگامیکه
227 میخواهد
1 موجودات + ش
3 زنده + تر
94 حس
1179 حتی
839 وقتی
262 نمیتواند
98 سرشار
39 ذوق
59 خلاقیت
1 نوآوری + اش
111 نوشتن
203 میآورد
3347 اما
5666 گفت
62 اساتید
253 برجسته
51 تجسمی
440 عصر
338 معاصر
987 قدرت
10 خیرهکننده
42 مهارت
377 فنی
1 ساده + اش
59 بخوبی
580 چیزی
22 بسازد
61 قبلا
3 نسخه + برداری
377 واقعی
44 نمیرود
1 ماندن + ی + تر
22 تکراری
4 آدمها + ست
272 هنرمندان
7 موزه + ها
9 نمایشگاه + ها
711 مجموعه
1 آفریده + شده
241 جایی
57 روشی
921 بیان
542 هنری
443 باقی
47 نمانده
302 تازه
1598 راه
970 ندارد
281 ثابت
337 کافی
4 قیدوبند
7 ازپیشتعیینشده
780 آزاد
12 نگاه + ش
153 متوقف
54 نماند
3 ب + سادگی
27 رجوع
2918 صورت
76 استعداد
49 نوآوری
100 زمینهای
304 همچون
1216 تاریخ
32 افسانه
690 ...
115 وام
913 میگیرد
10 آفریده
481 نکته
973 مهم
465 نوعی
108 بومی
171 عین
2138 توجه
41 سنتهای
118 رایج
530 فضای
175 کانون
1946 جهان
265 بگیرد
99 فیلمنامه
358 کوتاه
26 وسوسه
11 نسرین
21 صالحی
547 احمد
1495 زیر
13 پتو
16 خوابیده
243 صدای
387 ما + در
262 گوش
1708 !
2 دیر + ت
3 پاشو
3 غلت
1 مدرسه + ات
72 دیر
6 بی + میلی
1341 سر
24 برمیدارد
630 چشم
622 باز
112 آفتاب
204 اتاق
2 پهن + شده
68 میبیند
491 درحالیکه
1 کشو + قوسی
646 ساعت
31 دیواری
498 جا
23 کنده
368 راست
29 مینشیند
544 چرا
97 زودتر
4 بی + دارم
4 نکرد + ی
2957 ؟
1 مدرسه + م
28 و + ای
120 [
120 ]
7 نترس
495 نشده
1 میر + سی
19 عجله
346 بلند
1 ب + فهم + ی + ن + فهم + ی
2 غر
2 دیر + م
1490 اشاره
182 نیم
308 مانده
67 زنگ
1704 ولی
3 بی + ام
1 دستور + و + م + و
1 بش + ورم
2 صبح + و + نه
7 بخورم
33 خب
886 طرف
19 دستشویی
677 میرود
3 م + تبسم
11 لحاف
473 جمع
207 آدم
76 روزه
1 نمی + خور + ه
121 میماند
6 بر + میگرداند
14 ا
29 آره
7119 -
26 یادم
303 رفته
7 ها
2778 پس
33 امشب
6 میتونم
2 ب + گم
330 قبول
11 باشه
97 میافتد
32 میبینم
52 دلم
6 دار + ه
44 یه
28 جوری
9 میشه
1106 وارد
1 ش + مد
2039 پیش
9 میخندد
81 مریم
2 دخترک + ی
140 کلاس
281 آمادگی
135 تخت
85 حیاط
130 نشسته
18 آرامآرام
14 لقمه
4 می + جود
30 مینگرد
56 آینه
33 میشوید
4 زبان + ش
22 در + میآورد
693 کنار
43 کفش
140 لباس
91 پوشیده
261 رفتن
48 کیف
3090 دست
108 چای
54 میریزد
681 نزدیک
13 میایستد
1970 چه
16 بگیر
15 دیگه
5 میدونم
679 مثل
2 آدم + بزرگ + ها
47 حتما
6 دل + ت
197 درد
1301 نه
79 مال
3 روز + هست
1667 حال
76 ایستاده
46 خم
25 ببین
1 زبون + م + و
1294 زبان
3 روز + هم
99 نان
59 منع
6 ن + خود + ی
29 دندانهای
2 کرم + خورده
2 ن + از + ش
62 نمایان
8 میدود
7 خدا + حافظ
1 دویدن + ش
1 کیت + کت
19 گز
3 ده + تومانی
868 چهار
12 مینهد
177 آقا
3 چند + ه
262 صاحب
24 مغازه
2 ساعت + م
314 هفت
388 ده
484 دقیقه
15 معطل
383 نمیشود
62 بهسرعت
845 حرکت
441 بیرون
617 خیلی
2 ممنون
361 مدرسه
1963 میان
213 محمود
2 هم + کلاس + ی
136 حسینی
1059 جای
18 یقه
18 چسبیده
2906 من
18 منم
79 خیال
76 کرد + ی
93 حرکات
538 یکدیگر
1426 چند
1351 تن
816 دور
87 حلقه
39 زدهاند
164 ردیف
74 میانی
2 نیمکت + ها
81 اولی
152 هستم
67 دومی
15 اگه
63 یازده
29 بودید
1 مرد + ید
40 تختهسیاه
80 گوشه
838 نوشته
11 افطار
1 م + بصر
96 برپا
362 خانم
137 معلم
13 مینشینند
147 سکوت
10 سروصدای
37 پنجره
33 خیره
161 اراده
1987 داشته
38 با + ش
283 کمی
2 و + ا + میرود
217 دستی
112 پاک
944 زمین
269 هشت
5 گز + ها
32 لمس
133 میگذارد
13 کنار + ش
155 افتاده
1 انشای + ش
55 میخواند
424 تکیه
458 سعی
114 سایه
264 پسر
23 فواید
841 زیادی
2829 اگر
4519 ما
70 بخواهیم
4 بنویسیم
3 دفتر + های
738 میگوید
11 لذت + ی
46 وقتی + که
144 بد
4 نگه + میدارد
10 روی + ای
1059 جمله
146 خوانده
173 کلام
77 ادغام
588 میگردد
598 خدا
9 کنه
415 پدر
159 میخورد
207 زدن
2 کیف + ش
60 زانو
115 محکم
384 دفتر
12 انشا
80 میز
9 انشای
285 بسته
22 میگذراند
2033 نفر
100 مایل
27 بخواند
2 س + یخ
40 لحظهای
1 لبخند + کی
75 لب
143 اسامی
1253 انتخاب
29 ناامید
5 دفتر + ش
75 شنیدن
1 ط + مان + ی + نه
111 خواندن
7 بخوان
4 کل + افه
814 بالا
4 فرو + میرود
133 دهان
1500 زمان
16 عرق
3257 کرده
7 نیمکت
1 تحسین + کننده
398 دیگران
2 فخر + فروشی
116 نکند
1 بی + چ + ارگان + ی
696 شب
3 محتاج + ند
7 بی + خود
1 نمی + چرخاند
478 اینها
10 روزهدار
14 ارادهای
209 قوی
540 کنترل
278 بتواند
780 کمک
31 بهسادگی
56 بر + دارد
17 پشتکار
75 وادار
14 امتحانات
1 نترس + د
20 سربلند
57 گفتیم
10 اجر
6 ثواب
468 خداوند
955 *
10 نظر + ش
254 جلب
43 تحسین
552 فشار
17 دهانش
1455 آب
7 خمیده
3 زر + ورق
25 پاره
121 نگران
8 سراپا
270 پایین
1 میخ + ماند
1256 همان
2590 هستند
430 پشت
6 فرو + میبرد
12 یکنواخت + ی
16 آفرین
146 تشویق
2 کنی + ن
108 اندکی
19 تواضع
58 انداخته
3410 نظر
45 خوشحال
261 هرچند
48 خوشحالی
142 پنهان
9 بی + اختیار
103 گویی
360 حالت
1764 بعد
1324 ادامه
325 قطع
38 ببینم
881 تو
4 زیر + چشم + ی
314 روزهای
314 اجازه
51 بگو
3 میتونی + م
110 سوال
179 جواب
7 ندیم
14 مواظب
9 کنجکاو
710 پاسخ
4866 وی
1 ن + میخوای
4 نده
1071 بدون
344 قصد
13 بیاموزد
2 ب + گی
563 تاکید
11 خجالت
1 ن + کش
17 مستقیما
99 منتظر
1 ن + میکشیم
39 نظرم
95 ناگهان
358 خودش
3 جمعوجور
8 محکمتر
1136 قبل
1 ب + گیم
2 روزهای + م
422 داریم
2 و + یا
154 بله
6 ریا
454 میکنیم
16 دیدهایم
1 فرو + میاندازند
58 چی
1 هستی + ن
1259 بار
186 ازجمله
59 مکث
225 بازیکنان
13 دوستش
83 صبر
256 کن
79 دم
289 نیمه
571 میآید
1 روسری + اش
51 گره
17 سفت
17 بر + ه
182 بالاخره
1 این + و
1 با + با + ت
2250 داد
6 به + ت
11 بدم
6 طرف + ش
88 در + از
31 شیرینی
1 گرفتن + ت
5 خواست + ی
5 ب + را
1 افطار + ت
1 افطار + مون
323 پول
14 جیب
3 آخ
1 شیرین + ه
1 میپ + رد
278 صدا
30 بر + و
1 تشنه + ت
2 نشه
4 سر + خوش
104 درختان
3 پیاده + رو
7 عابران
104 بچههای
119 تقریبا
2 همسنوسال
139 میگذرد
169 گاه
2 مغازه + ای
284 رد
49 تابلو
2 بستن + ی + فروشی
1 توجه + ش
123 سو
4 می + فشرد
1548 ماه
125 مبارک
50 رمضان
21 اذان
91 مغرب
362 فروش
8 بستن + ی
3 معذور + یم
51 شیشه
3 آبنبات
15 شکلات
126 قدم
7 بر + میدارند
4 ن + ردههای
145 پارک
3 راه + شان
258 جدا
1121 تمام
1 حواس + ش
1497 سوی
293 خیابان
22 هی
2 ح + و + است
43 کجاست
10 نبش
89 فرعی
4 گلهمند
6 طلبکارانه
282 دارم
14 خداحافظی
482 میکنم
1 فکر + ش + و
19 نکن
4 می + چرخاند
426 فاصله
2 دختربچه + ای
460 کوچک
1 ما + مان + ما + مان + گویان
308 شیر
31 درختی
16 پایش
93 جوی
12 دختربچه
1 سر + و + روی
3 تند + تند
15 خیس
639 فکر
151 خوردن
1 بازی + گوش + انه
4 م + یک + نه
15 میبندد
118 رها
345 پا
249 خشک
9 جوراب
4 میپوشد
158 بند
6 کفش + ها
18 تنه
137 درخت
3 چشم + ک
1 شاخههای + شان
246 باد
59 تکان
385 همچنان
1 رقص + وار
1 خ + مانده
10 شاخه + ها
1 میر + قص + ند
426 بهتر
50 ببیند
20 دقیقا
1713 حضور
20 مجسم
117 کودکی
1 آبنبات + ی
54 چوبی
3 لیس
4 قورت
113 بچه
56 همچنانکه
9 جلویش
1 چشم + بسته
529 کودک
104 تعقیب
156 گمان
62 لااقل
2058 گذشته
100 عقب
1 آبنبات + ش
40 دستش
2 میلغزد
159 جانب
3 سماور
15 قل
549 قرآن
18 سفره
19 پهن
50 گوشهای
26 کز
530 مساله
372 حساب
493 حل
3 میبوسد
170 جلو
40 سبزی
30 حوض
1 پ + شنگ + ه + های
1 شمع + دان + ی + های
4 می + پا + شد
470 کاری
327 کنم
2 خسته + ای
33 شوخی
6 درست + ه
138 مردی
118 گفتن
54 زنی
1 قی + ژ + قی + ژ
4 طاق + چه
2 درستوحسابی
233 وسایل
3 میچیند
694 جان
416 رو
12 دعایی
8 زمزمه
31 بنشیند
3 و + ارسی
2 کموک + سری
244 نباشد
48 خستگی
3 آه + ان
12 آبلیمو
8 برخی + زد
9 بکن
1 آشپز + خون + ه
3 بیار
1 جای + گیر
144 خودم
1 می + ارم
1 نیم + خیز
2857 شود
25 خواستم
1 ثواب + ی
189 برده
2 زل
1 انگشت + های + ش
4 داد + اش
9 تا + ی
1 می + ذ + اریم
31 بیا
1 کمک + ت
13 زانوی
86 غم
1 ر + بنا
4 گل + دسته
592 مسجد
286 رادیو
20 چشم + ی
1 گناه + ت
1 کمتر + ه
22 با + با
2 افطار + ی
50 دعا
1 بنده + های
271 خوبی
279 باشیم
14 چهرهاش
4 ب + میرم
306 الهی
17 صورت + ش
57 چطور
1 بچه + م
161 فردا
3 ن + میخواد
8 بگیری
4 آوه
84 چقدر
1 م + یون
1 بساط + ش
56 لبخند
1 کرم + خورده + اش
267 معلوم
2 به + ت + زده
12 طاقت
15 نمیآورد
1 پرس + ان
18 قفل
14 رختخواب
25 بغض
2 شانه + های + ش
11 نفس + ی
169 عمیق
12 صدایش
119 فضا
6 میپیچد
3 چته
34 شانه
2 میر + هاند
828 کسی
32 دعوا
2 عاجز + انه
223 آرام
10 آخه
53 بشدت
678 داخل
1 گز + هایی
184 فرش
313 پخش
38 خنده
8 میگشاید
3 را + می
1 ن + گرد
3 ن
462 حالی
374 حرف
5 لاالهالاالله
28 بزن
1 می + ترک + د
78 گریه
3 بی + طاقت
24 بگذار
15 برگرداند
331 ابتدا
299 مقاومت
108 اصرار
55 دستهای
86 مکرر
5 میپوشانند
1 چ + ت
1 دلم + و
457 خون
3 غروب + ی
234 قول
1 مید + م
78 باشم
42 میکنی
3 معلوم + ه
1 پ + شیم + و + نی
64 راحت
17 میشکند
137 همگی
4 هقهق
1 هقهق + کنان
3 روز + هم + و
3 نتونستم
1 خودم + و
21 بگیرم
45 انگار
2 مقصر + ند
11 خوردم
1 بر + هم + ش
30 مهربانی
4544 روز
1784 اول
1 سخت + ه
252 فرصت
7 زیاده
14 فر
2 دا
1 بخش + ه
1303 زمینه
46 جملات
13 عبارات + ی
835 خط
197 کشیده
5 صلاح + دید
164 کارگردان
25 بهوضوح
4 میزگرد + ی
135 دستاندرکاران
19 جستوجو
102 برنامهای
1433 گرفت
808 ساخته
79 بخشهایی
2316 داشت
508 کدام
34 بخشها
3 توانست + ید
1296 عمل
6 ب + رسانید
409 عرض
1839 گروه
1445 اجتماعی
988 شبکه
1975 سه
867 ساخت
796 موضوع
110 معضلات
62 سفارش
92 خوشبختانه
142 قضیه
144 چندان
554 نبود
507 بخشی
8 ذهن + م
1608 طرح
84 داستانی
240 بودم
277 مدیر
73 دادم
246 طرحهای
755 باعث
117 بگوید
2 ژانر
110 مستند
4 پذیرفت + م
556 شروع
253 کردیم
1228 تشکیل
1668 شما
321 دوست
19 داشتید
72 آسان
86 میآمد
1161 چون
1884 جامعه
105 بگذارد
516 انواع
23 اقسام
84 روبهرو
61 شدیم
3 پیش + تولید
47 دیدیم
1 را + حتی + ها
36 بازگو
120 موانع
141 بودیم
162 مثلا
279 زندان
9 میشدیم
43 چیزها
9 میدیدیم
16 نمیتوانستیم
28 عرف
5 قرمز + ها
203 مدتی
285 گذشت
64 جور
28 ممیزی
111 درونی
344 کردم
4 مضاف
711 مساولان
95 داام
53 مشورت
765 ارتباط
70 اعتیاد
130 سرقت
1 پیگیری + ای
5 فهمیدیم
100 فاجعه
114 میانگین
287 سن
1 معتاد + ها
86 پانزده
1968 آقای
12 رایانی
4 نشست + یم
19 صحبتهای
40 جمعبندی
24 رسیدیم
57 برمیگردد
67 معضل
2 فرهنگی + مان
516 خانواده
43 ازدیاد
10 به + ش
14 به + قدری
29 گروههای + ی
4 میطلبید
71 بروند
20 یوسفی
310 صحبت
720 هدف
89 میخواهیم
585 معرفی
65 فرصتی
535 دادند
22 میرویم
24 تکتک
16 در + کل
11 بخواهم
317 اینجا
38 حرفها
56 نمیکنم
2 وقت + مان
7 در + بیاید
41 میتوانم
122 بگویم
298 دریایی
108 توی
328 در + یا
106 خودمان
7 آمدن + ش
245 طوری
71 اواسط
572 دچار
227 روانی
139 شدم
553 دادن
1 بازماند + م
40 زندانها
24 دفعه
161 هزاران
216 جرم
516 روند
30 مجرم
1 شد + نشان
48 انگشت
1500 هیچ
141 شبیه
28 اون
5 زندگی + های
351 متفاوت
2 بدبختی + های
3 وام + ی + داشت
39 واقعا
1071 آینده
3 تلخ + ترین
72 برنامههایی
63 روزبهروز
1 ناامید + تر
3 می + گفتیم
19 توکل
211 دوستان
258 بخصوص
2 زحمات + شان
609 کمتر
16 فرمودید
418 دید
4 رفت + ید
85 سراغ
2 بپرد + از + ید
359 شدید
14 دیدید
1856 فرهنگی
65 ببینیم
315 گذاشته
22 رفتیم
4653 مردم
12 معضلات + ی
241 دختر
4 پسر + های
43 فراری
8 گدا
23 سارق
31 بنیان
34 سست
16 آمدیم
1257 فرهنگ
84 دیدم
741 مساال
311 حالا
15 اشتباه + ی
150 جزو
139 سنت
112 مذهب
103 غنی
5 خرافات
35 رسوم
188 اشتباه
46 بعضیها
319 مذهبی
269 عدهای
6 مغرضانه
15 ریشهیابی
3 خرافات + ی
40 ساختهاند
49 طلاق
199 احترام
483 مرد
548 زن
1521 نسبت
388 رابطه
94 دوستانه
188 فرزند
13 سستی
6 آبستن
1 معضلات + مان
340 بشود
84 متون
394 مطالعه
159 میبینیم
1 معضل + ساز
71 نهی
15 دیدهام
148 سریع
1382 اسلام
49 ربط
3 تاثیر + ش
178 26
607 قسمت
87 بگوییم
27 موجود + ی
1449 دارای
506 اختیار
177 شرایطی
38 بدتر
433 بیست
254 بعدی
14 تقصیر
923 شرایط
1 مقصر + ی
90 فهم
18 شعور
56 داری
61 بس
98 نوبت
39 نداشتن
37 نکردن
90 اختیارات
1 شعور + ش
29 اشتباهات
12 جاهای + ی
406 بزرگترین
53 جراام
111 میزنند
3 پدر + ها
9 ما + در + ها
20 نمیتوانید
193 تربیت
657 کنید
21 میروید
236 ازدواج
253 میکنید
1 پسر + تان
67 نکنید
457 حاصل
45 خودتان
69 جدایی
12 مشاجره
1 کوبید + یم
2 جرمزا + ست
53 کارهایی
130 بدهند
38 نمیدهند
1 مخدر + ش
62 نمیتوانیم
40 توقع
14 نگرش + ی
960 پیدا
589 کامل
502 فرد
35 گرفتیم
13 کلا
23 تخممرغ
1 مید + زد + د
24 مقصر
77 همسایه
1 معلم + ش
352 مساول
7 قیم
415 امکانات
706 فراهم
431 درواقع
80 مقوله
28 گستردهتر
25 عمیقتر
72 کردید
937 آیا
182 مبنای
61 نظریات
14 جامعهشناختی
93 انحراف
743 منابع
157 دانشگاهی
11 آکادمیک
40 جامعهشناسی
51 تهیهکننده
3 تحصیلات + ی
2 دیده + ها
1 تجربههای + م
24 اکتفا
1911 بخش
805 علمی
536 انتقال
54 دادیم
261 محققان
90 روانشناسی
19 میگفتم
532 هنر
16 خواندم
52 تاوری
2 ن + بر + م
53 پشتوانه
31 کارم
19 کالج
1 در + آورد + ید
47 مرجع
19 پایاننامه
22 بروید
1 پشتوانه + اند
44 حرام
47 میگوییم
44 نیامده
87 کتابی
20 تاثیرات
98 فیزیکی
92 بگیریم
10 پدر + ی
10 کلاهبرداری
863 خانه
59 خرج
1 تاثیرات + ی
4 شغل + ش
562 ترتیب
24 فرزندش
7 بیاییم
823 مطرح
8 میفهمند
1572 طور
215 برداشت
1 مصلح + انه
1 گوشزد + کننده
37 راهکار
276 بخشهای
3 گرفت + ید
4 خواست + ید
88 بدهید
87 بکنیم
237 فقر
44 تعدیل
125 بکند
45 میخواهید
42 بگویید
7 هم + چین
16 قسمت + ها
1 سخن + تان
15 عقیلی
222 توضیح
51 بدهم
25 توضیحی
14 سوال + ی
10 نشست + م
7 راه + کاری
10 ایراد + ی
288 گرفتند
2 ن + دادید
89 ببینید
346 رفع
598 شوند
8 میدانستیم
34 حلال
34 نیستیم
1 عوامل + ش
362 گروهی
38 داوطلب
5 خالص + انه
6 چشم + داشت
142 مادی
130 پرداختند
2 نیامد + یم
298 آخر
77 بدهیم
122 کارشناس
7 زن + ش
19 مینشست
56 تریاک
31 میکشید
724 میکرد
171 سالها
19 میدید
10 پس + فردا
110 بوی
11 میشناخت
19 ب + و
299 شناخت
382 قیمت
21 فهمید
271 سود
412 مخدر
195 زد
1 نمایشی + مان
84 انتهای
563 مشکل
1 تمام + نما
47 خودت
18 دید + ی
542 اصلاح
1 خود + تو
1 ندید + ی
1 ف + به + ا
121 داشتیم
80 میخواست
323 جدیدی
170 ضعف
1 ن + میپذیرند + ش
186 میخواهند
21 بایستد
2 تمام + قد
180 نشد
912 البته
3 یواشیواش
8 بفهمند
283 میدانند
3 چ + کار
106 بکنند
20 هالیوود
809 غرب
923 اروپا
8 بفهمیم
107 مدل
1 موهای + مان
71 بدانیم
1 تن + مان
1 شلوار + های
10 آنچنان + ی
503 استاد
50 پلاک
1 R + A + P
9 گردنش
59 اصلا
2 ن + میفهمد
89 کی
217 افتاد
3 مکرر + ی
34 غربیها
109 مخاطب
92 عادت
1 ب + ج + و + ند
81 بگذارند
1 ده + نش
103 متاسفانه
75 مخاطبان
82 تغییراتی
1007 کردهاند
666 مشخص
849 تلاش
445 سمت
1292 دیگری
10 بشنوند
286 خودشان
104 مملکت
121 ارزشمند
4 سوال + م
234 چیست
34 میآمدند
141 اوقات
56 بازتاب
36 جاها
12 پسر + ی
467 تصمیم
332 نهایی
1 رفقا + یم
58 برویم
36 دزدی
23 بزنیم
33 دیشب
20 منصرف
177 گفتم
3 نشد + م
24 میگویید
369 پیام
16 بشنود
408 حکم
66 راهحل
76 سیبزمینی
689 برنامههای
37 معقول
108 کارشناسی
146 الان
374 کارشناسان
37 مشت
68 تجویز
14 نیفتاده
172 فرم
268 ساختار
13 قشنگ
23 تاثیرگذار
15 مجذوب
107 میخواهم
3 مخاطب + ی
76 مقداری
2 ن + شدید
40 مسالهای
5 نداشت + ید
54 کردهاید
1155 اصلی
583 زمانی
8 هم + پای
112 عام
43 ضرر
26 عوام
68 تطبیق
10 ور
29 با + م
60 رسانهای
443 تلویزیون
